Temperature,Humidity,Gas_Value,Fire_Hazard
31.18,30.19,507.8,0
54.18,19.6,911.07,1
24.34,57.62,556.44,0
54.32,24.81,737.09,1
22.54,20.68,543.98,0
36.46,26.88,103.22,0
58.83,12.49,607.96,1
37.82,79.21,648.19,0
43.45,88.27,597.52,0
34.68,36.82,390.39,0
41.59,24.22,1040.19,1
56.88,16.6,1070.39,1
16.07,50.34,219.34,0
22.77,55.49,467.6,0
43.25,11.51,1073.36,1
47.49,7.06,835.37,1
50.16,32.5,649.75,1
41.4,32.15,700.94,1
16.72,25.47,403.17,0
30.22,82.19,333.46,0
43.61,7.64,923.41,1
43.02,74.92,658.57,0
52.7,20.59,861.33,1
33.18,71.19,114.63,0
35.75,40.04,62.86,0
44.3,10.18,663.34,1
52.84,11.97,1055.31,1
47.28,16.52,647.64,1
49.08,12.12,1050.34,1
51.24890604320854,19.792992994960983,986.1668461540028,1
55.68,19.35,940.27,1
54.82361914196824,33.65462811504332,698.322436206848,1
16.87,61.65,63.02,0
41.86524645155691,10.648760920079804,599.14284783614,1
45.22,26.1,967.12,1
57.76185846850109,34.91469882782166,1147.6551324102595,1
56.2,18.93,908.68,1
15.69,23.72,479.33,0
41.87,25.07,677.81,1
55.38810350773165,22.52507302683147,920.2043336357616,1
51.73,5.58,1088.63,1
24.6,21.01,382.12,0
41.74,22.26,976.52,1
51.14,31.54,697.08,1
58.87,28.86,651.29,0
21.02,88.6,185.69,0
21.9,77.48,75.31,0
51.78,32.6,932.74,1
16.07,77.15,199.77,0
43.51,72.5,311.49,0
55.1,22.96,787.44,1
29.74,35.01,43.64,0
46.93,16.51,933.87,1
40.44,83.34,263.29,0
26.69,71.26,264.63,0
37.67,89.49,125.01,0
23.46,73.39,579.05,0
47.35,23.71,1015.88,1
17.47,89.28,22.33638808863365,0
47.02,25.89,920.57,1
38.58,79.27,20.2,0
17.8,26.37,661.88,0
56.6,31.45,958.81,1
42.89,67.25,412.97,0
30.88,86.2,544.19,0
46.44,7.8,971.84,1
41.64,7.59,43.043800651148054,1
59.4,11.19,1161.64,1
43.91,38.02,48.07,0
49.57,23.48,929.17,1
54.92,18.72,1108.38,1
43.22,25.76,1102.8,1
48.46,21.48,1112.55,1
53.44,17.8,1187.1,1
53.75,17.87,1155.27,1
55.24,11.79,833.65,1
26.85,53.28,726.41,0
43.21,18.64,950.47,1
53.76,29.02,1060.6,1
20.06,85.17,130.32,0
51.97,29.23,707.15,0
59.36,17.68,1069.25,1
33.54,65.17,646.84,0
42.39,27.38,277.49,0
39.92,67.17,207.41,0
44.06,5.55,856.34,1
48.51,21.28,657.47,1
40.03,42.73,212.11,0
22.71,29.07,790.38,0
